392704,332778.2,238408,251850.5,135987.8,89671.48,70742.21,89491.39,82056.38,74810.23,10587.46,49352.49,36048.94,32072.94,29853
389081.4,328574.1,235302.5,248530.6,133753.4,87870.71,69396.93,87798.5,80586.2,72892.88,10518.71,48202.98,34825.26,30922.78,28382.08
385067.2,325108.7,232364,245786.5,132172.1,86236.68,68018.84,86006.02,78637.37,71614.65,10071.84,46785.24,33965.38,29969.79,27512.9
381314.1,321272.8,229525.8,242161.7,129937.6,84769.38,66804.8,84346.3,77030.42,70201.87,9624.972,45712.36,32510.19,28491.02,26409.71
377495.8,316965.8,226386.9,239349.9,128287.6,82668.49,65426.71,82819.38,75491.87,68318.15,9178.1,44294.63,31683.38,27308.01,25473.68
373840.6,314341.3,223548.6,236707.5,126259.4,81534.67,64147.05,81226.05,73987.49,67107.2,8628.109,42838.57,30558.92,26289.3,24571.07
370120.1,310202.6,220877.2,233557,124128,79500.48,63097.07,79499.96,72483.13,65526.22,8456.235,41727.37,29533.68,25270.59,23467.88
366791.3,306837.8,217938.7,230406.4,122409.2,78333.31,61751.78,77906.64,70910.38,64214.36,8318.736,40271.32,28508.43,24021.85,22331.27
363038.2,303338.3,215098.7,227662.4,120656,76699.28,60537.75,76578.88,69474.4,62599.75,7803.116,39351.71,27615.47,22937.42,21462.09
359611.4,299670.7,211957.9,224613.5,118696.6,75231.99,59258.09,75018.76,67764.89,61321.52,7631.242,38087.24,26524.08,21754.4,20358.9
355858.3,296204.9,209351.7,221733.9,116874.7,73597.97,58011.24,73325.85,66226.33,59942.37,7115.62,37014.36,25862.63,20637.1,19422.86
352464.2,292604.6,206879.2,219125.4,115155.9,72297.41,56698.76,71832.12,65132.25,58361.4,7012.497,35596.62,24672.03,19881.29,18386.54
349168,289138.8,204373.3,216685.9,113471.4,70596.69,55747.23,70437.96,63456.93,57251.36,6943.747,34562.05,23845.21,19059.75,17383.64
345578.1,285874.9,201867.4,213534.3,111615.1,69196.09,54434.76,68778.26,61952.56,55569.47,6462.501,33680.76,22588.46,17778.14,16614.75
341792.4,282678.4,199027.3,211230,109621.3,67528.71,53319.16,67350.91,60584.96,54526.7,6153.128,32339.66,21893.94,17055.19,15544.99
338887.8,279414.5,196421.2,208044.6,108486.9,66028.07,52269.18,66056.34,59285.72,53147.56,5878.13,31343.41,20835.63,15872.17,14608.95
335297.9,275948.7,193681.4,205367.5,106628.4,64694.16,51055.14,64529.41,57849.74,52138.43,5259.384,30155.58,20240.32,14590.57,14140.93
332295.4,272954,191643.2,202656.5,104976.3,63693.74,49972.36,63201.64,56584.7,50523.82,5431.258,29235.97,19115.86,14064.79,13405.48
