,-4,0,4,6,8,10,12
0,204.0669,205.544,203.233,203.8441,203.5174,203.8192,205.2641
2,205.0162,206.5862,204.3165,204.9706,204.6547,204.8265,205.7088
4,205.0869,206.6565,204.3919,205.085,204.7302,204.8655,203.9662
6,203.0838,204.0819,201.4461,202.0602,201.5046,200.6734,194.3476
8,204.5056,205.6486,202.9751,203.6048,201.7024,198.1104,185.8733
10,129.0733,130.0662,128.4583,128.5998,123.5647,118.6917,106.6937
12,202.2513,203.7988,200.9201,198.7555,180.4073,170.6114,149.0602
14,201.178,202.3087,192.8354,180.901,151.0545,138.2418,116.5691
16,204.5991,204.4643,172.4688,148.0766,118.715,103.699,85.8987
18,205.204,198.3125,138.7462,112.157,94.3547,78.6601,61.274
20,205.6505,179.6617,115.0157,103.7465,91.2058,69.0751,48.146
22,198.6762,154.0838,111.2343,113.0988,96.8607,67.9935,40.7064
24,201.579,137.7335,144.1648,155.3283,134.4583,100.0098,59.5941
26,186.4761,123.7117,181.0092,189.0046,169.3946,136.1591,83.1589
28,141.1881,115.022,181.2969,182.94,174.5339,154.6382,102.0246
30,133.3072,136.6624,198.7137,199.3567,196.0415,183.6757,132.4343
32,121.2998,156.2486,196.532,197.1442,196.2838,192.2099,154.3885
34,130.0774,180.0365,203.5234,204.1596,203.6274,202.1241,175.1537
36,152.8193,199.0923,205.1942,205.8012,205.2885,205.1415,191.4344
38,172.4526,204.9657,205.0847,205.7129,205.2666,205.3283,198.2761
40,187.21,200.5427,197.7339,198.2073,197.9384,198.1458,195.005
42,203.0351,208.4316,206.1828,206.8693,206.4628,206.7974,206.6776
44,201.9761,204.0078,201.6635,202.3433,201.9543,202.1409,202.4328
46,205.9634,207.09,204.1813,204.7508,204.307,204.4825,204.863
48,206.7167,207.9465,205.4044,206.1028,205.769,206.1921,207.0452
50,200.6979,202.0456,199.7272,200.4411,200.0952,200.5186,201.5009
52,206.4982,207.7322,205.1274,205.8039,205.4002,205.7144,206.6257
54,206.1924,207.3428,204.6065,205.2119,204.8382,205.0854,205.925
56,205.7611,207.2299,204.7193,205.4164,205.0452,205.4075,206.2298
58,207.1494,208.3829,205.8455,206.5116,206.0853,206.383,207.4033
60,191.5122,192.689,190.4721,191.1166,190.7453,191.009,191.9461
62,189.8553,191.193,189.1379,189.8638,189.6627,190.0502,191.1084
64,206.0771,207.3906,204.8162,205.5239,205.1745,205.3959,206.4667
66,203.6985,204.8943,202.0631,202.5776,202.1107,202.4302,203.375
68,205.8613,206.8853,203.8635,204.3877,203.8125,204.0562,205.0992
70,205.6656,206.9241,204.3775,205.0364,204.5867,204.8092,205.7894
72,199.2063,200.5667,198.2019,198.8606,198.4955,198.7662,199.7471
74,205.1071,206.1669,203.1922,203.7264,203.186,203.4705,204.5141
76,206.7454,207.6671,204.7942,205.3987,204.9947,205.34,206.5271
78,191.6359,192.716,190.1605,190.7514,190.2883,190.5906,191.6024
80,205.75,207.5422,205.4536,206.2051,205.8862,206.2375,207.3096
P_A,200.4731,201.9767,199.716,200.5108,200.1732,200.6063,201.8902
P_E,-98.0938,-93.7115,-95.8548,-95.3769,-95.3512,-92.1413,-88.3611
