,-4,0,4,6,8,10,12
0,22.7008,22.5914,22.5851,22.5901,22.5768,22.4667,22.3779
2,22.7365,22.6307,22.626,22.6326,22.6197,22.5049,22.3948
4,22.7391,22.6334,22.6288,22.6369,22.6226,22.5064,22.3284
6,22.6639,22.5362,22.5175,22.5227,22.5007,22.347,21.958
8,22.7173,22.5954,22.5754,22.5811,22.5082,22.249,21.6264
10,19.6832,19.5358,19.5592,19.5445,19.3224,18.9623,18.239
12,22.6325,22.5255,22.4976,22.3972,21.6864,21.1688,20.1225
14,22.5921,22.469,22.1891,21.7068,20.4997,19.822,18.695
16,22.7208,22.5506,21.392,20.3766,19.1072,18.2757,17.2394
18,22.7435,22.3168,20.0027,18.8134,17.9872,17.0674,15.9749
20,22.7602,21.5924,18.964,18.4282,17.8373,16.5816,15.2581
22,22.4974,20.5575,18.7932,18.856,18.1056,16.5259,14.8365
24,22.6072,19.8677,20.2323,20.6778,19.7973,18.1027,15.885
26,22.0301,19.2564,21.7298,22.0228,21.2489,19.7322,17.1033
28,20.2012,18.8677,21.7411,21.7868,21.4542,20.5153,18.0194
30,19.8658,19.8216,22.4138,22.4201,22.2927,21.6887,19.4052
32,19.3435,20.6471,22.3307,22.3358,22.3019,22.0217,20.3471
34,19.7266,21.6072,22.5961,22.602,22.581,22.4023,21.1995
36,20.6864,22.3466,22.659,22.6639,22.6436,22.5169,21.8446
38,21.4805,22.5696,22.6549,22.6606,22.6428,22.5239,22.11
40,22.0585,22.4019,22.3765,22.3763,22.3651,22.2503,21.9835
42,22.662,22.7002,22.6962,22.704,22.6878,22.5795,22.4317
44,22.6222,22.5334,22.5258,22.5334,22.5177,22.4029,22.2698
46,22.772,22.6497,22.6209,22.6243,22.6066,22.4919,22.3626
48,22.8002,22.6819,22.6669,22.6752,22.6617,22.5566,22.4457
50,22.5739,22.459,22.4524,22.4613,22.4472,22.3411,22.234
52,22.792,22.6739,22.6565,22.664,22.6478,22.5385,22.4297
54,22.7805,22.6592,22.6369,22.6417,22.6267,22.5147,22.4031
56,22.7644,22.655,22.6412,22.6494,22.6345,22.5269,22.4147
58,22.8163,22.6983,22.6835,22.6906,22.6736,22.5638,22.4593
60,22.2242,22.1009,22.098,22.1045,22.0892,21.9751,21.8645
62,22.1606,22.0431,22.0465,22.0561,22.0473,21.9379,21.8318
64,22.7762,22.661,22.6448,22.6535,22.6393,22.5265,22.4237
66,22.687,22.5669,22.5409,22.5423,22.5236,22.4139,22.3058
68,22.7681,22.642,22.6089,22.6106,22.588,22.4757,22.3716
70,22.7608,22.6435,22.6283,22.6351,22.6172,22.5043,22.3979
72,22.5175,22.4028,22.3943,22.4012,22.3863,22.2741,22.1667
74,22.7399,22.6149,22.5836,22.5857,22.5643,22.4535,22.3493
76,22.8012,22.6714,22.644,22.6487,22.6326,22.5244,22.426
78,22.229,22.1019,22.086,22.0904,22.0715,21.9589,21.8511
80,22.764,22.6667,22.6688,22.6791,22.6661,22.5583,22.4557
