0.0000	0.00000
0.0036	-0.01260
0.0306	-0.02930
0.0494	-0.03550
0.0735	-0.04180
0.0962	-0.04620
0.1201	-0.05020
0.1452	-0.05390
0.1921	-0.05850
0.2944	-0.06410
0.3746	-0.06530
0.4365	-0.06400
0.5023	-0.06090
0.6130	-0.04860
0.6569	-0.04150
0.7093	-0.03220
0.8004	-0.01580
0.8348	-0.01050
0.8759	-0.00560
0.9367	-0.00230
1.0000	0.00000
0.9321	0.01770
0.8549	0.03860
0.8059	0.05140
0.7552	0.06390
0.7042	0.07550
0.6551	0.08510
0.6013	0.09350
0.5496	0.09920
0.5003	0.10270
0.4492	0.10450
0.3982	0.10470
0.3503	0.10360
0.2992	0.10150
0.2493	0.09790
0.2040	0.09300
0.1487	0.08380
0.1256	0.07920
0.0980	0.07250
0.0734	0.06510
0.0385	0.05030
0.0207	0.03830
0.0063	0.02270
0.0000	0.00000
