waveform	[0]
t0	12/31/1903  18:00:00.000000
delta t	1.000000

time	Y[0]
12/31/1903  18:01:54.000000	2.666989E+0
12/31/1903  18:01:55.000000	2.658880E+0
12/31/1903  18:01:56.000000	2.656934E+0
12/31/1903  18:01:57.000000	2.659529E+0
12/31/1903  18:01:58.000000	2.662448E+0
12/31/1903  18:01:59.000000	2.630013E+0
12/31/1903  18:02:00.000000	2.577793E+0
12/31/1903  18:02:01.000000	2.539196E+0
12/31/1903  18:02:02.000000	2.535628E+0
12/31/1903  18:02:03.000000	2.584280E+0
12/31/1903  18:02:04.000000	2.588497E+0
12/31/1903  18:02:05.000000	2.624824E+0
12/31/1903  18:02:06.000000	2.634554E+0
12/31/1903  18:02:07.000000	2.646555E+0
12/31/1903  18:02:08.000000	2.586875E+0
12/31/1903  18:02:09.000000	2.636824E+0
12/31/1903  18:02:10.000000	2.663745E+0
12/31/1903  18:02:11.000000	2.604714E+0
12/31/1903  18:02:12.000000	2.639095E+0
12/31/1903  18:02:13.000000	2.654664E+0
12/31/1903  18:02:14.000000	2.659204E+0
12/31/1903  18:02:15.000000	2.662124E+0
12/31/1903  18:02:16.000000	2.654339E+0
12/31/1903  18:02:17.000000	2.643960E+0
12/31/1903  18:02:18.000000	2.648177E+0
12/31/1903  18:02:19.000000	2.689044E+0
12/31/1903  18:02:20.000000	2.638771E+0
12/31/1903  18:02:21.000000	2.669584E+0
12/31/1903  18:02:22.000000	2.640392E+0
12/31/1903  18:02:23.000000	2.635203E+0
12/31/1903  18:02:24.000000	2.607309E+0
12/31/1903  18:02:25.000000	2.534007E+0
12/31/1903  18:02:26.000000	2.507734E+0
12/31/1903  18:02:27.000000	2.462975E+0
12/31/1903  18:02:28.000000	2.470435E+0
12/31/1903  18:02:29.000000	2.525249E+0
12/31/1903  18:02:30.000000	2.570982E+0
12/31/1903  18:02:31.000000	2.610552E+0
12/31/1903  18:02:32.000000	2.630013E+0
12/31/1903  18:02:33.000000	2.651420E+0
12/31/1903  18:02:34.000000	2.664394E+0
12/31/1903  18:02:35.000000	2.629364E+0
12/31/1903  18:02:36.000000	2.663745E+0
12/31/1903  18:02:37.000000	2.643636E+0
12/31/1903  18:02:38.000000	2.650123E+0
12/31/1903  18:02:39.000000	2.628067E+0
12/31/1903  18:02:40.000000	2.607958E+0
12/31/1903  18:02:41.000000	2.592065E+0
12/31/1903  18:02:42.000000	2.651096E+0
12/31/1903  18:02:43.000000	2.662772E+0
12/31/1903  18:02:44.000000	2.664070E+0
12/31/1903  18:02:45.000000	2.608606E+0
12/31/1903  18:02:46.000000	2.592389E+0
12/31/1903  18:02:47.000000	2.622878E+0
12/31/1903  18:02:48.000000	2.649150E+0
12/31/1903  18:02:49.000000	2.636500E+0
12/31/1903  18:02:50.000000	2.646879E+0
12/31/1903  18:02:51.000000	2.637473E+0
12/31/1903  18:02:52.000000	2.618661E+0
