waveform	[0]
t0	12/31/1903  18:00:00.000000
delta t	1.000000

time	Y[0]
12/31/1903  18:01:54.000000	2.732507E+0
12/31/1903  18:01:55.000000	2.688071E+0
12/31/1903  18:01:56.000000	2.669584E+0
12/31/1903  18:01:57.000000	2.661475E+0
12/31/1903  18:01:58.000000	2.708505E+0
12/31/1903  18:01:59.000000	2.784402E+0
12/31/1903  18:02:00.000000	2.726344E+0
12/31/1903  18:02:01.000000	2.686125E+0
12/31/1903  18:02:02.000000	2.703640E+0
12/31/1903  18:02:03.000000	2.746129E+0
12/31/1903  18:02:04.000000	2.751319E+0
12/31/1903  18:02:05.000000	2.749373E+0
12/31/1903  18:02:06.000000	2.726669E+0
12/31/1903  18:02:07.000000	2.693585E+0
12/31/1903  18:02:08.000000	2.632284E+0
12/31/1903  18:02:09.000000	2.731858E+0
12/31/1903  18:02:10.000000	2.709803E+0
12/31/1903  18:02:11.000000	2.642338E+0
12/31/1903  18:02:12.000000	2.606336E+0
12/31/1903  18:02:13.000000	2.570333E+0
12/31/1903  18:02:14.000000	2.654015E+0
12/31/1903  18:02:15.000000	2.620931E+0
12/31/1903  18:02:16.000000	2.680611E+0
12/31/1903  18:02:17.000000	2.698126E+0
12/31/1903  18:02:18.000000	2.698450E+0
12/31/1903  18:02:19.000000	2.659853E+0
12/31/1903  18:02:20.000000	2.691963E+0
12/31/1903  18:02:21.000000	2.627094E+0
12/31/1903  18:02:22.000000	2.690342E+0
12/31/1903  18:02:23.000000	2.714019E+0
12/31/1903  18:02:24.000000	2.737048E+0
12/31/1903  18:02:25.000000	2.767212E+0
12/31/1903  18:02:26.000000	2.734453E+0
12/31/1903  18:02:27.000000	2.730561E+0
12/31/1903  18:02:28.000000	2.662448E+0
12/31/1903  18:02:29.000000	2.600173E+0
12/31/1903  18:02:30.000000	2.624499E+0
12/31/1903  18:02:31.000000	2.681909E+0
12/31/1903  18:02:32.000000	2.702343E+0
12/31/1903  18:02:33.000000	2.701694E+0
12/31/1903  18:02:34.000000	2.569036E+0
12/31/1903  18:02:35.000000	2.707532E+0
12/31/1903  18:02:36.000000	2.684828E+0
12/31/1903  18:02:37.000000	2.686450E+0
12/31/1903  18:02:38.000000	2.717587E+0
12/31/1903  18:02:39.000000	2.676395E+0
12/31/1903  18:02:40.000000	2.638122E+0
12/31/1903  18:02:41.000000	2.782456E+0
12/31/1903  18:02:42.000000	2.788943E+0
12/31/1903  18:02:43.000000	2.786673E+0
12/31/1903  18:02:44.000000	2.791538E+0
12/31/1903  18:02:45.000000	2.790565E+0
12/31/1903  18:02:46.000000	2.763644E+0
12/31/1903  18:02:47.000000	2.721479E+0
12/31/1903  18:02:48.000000	2.650123E+0
12/31/1903  18:02:49.000000	2.699748E+0
12/31/1903  18:02:50.000000	2.657258E+0
12/31/1903  18:02:51.000000	2.590119E+0
12/31/1903  18:02:52.000000	2.618985E+0
12/31/1903  18:02:53.000000	2.752616E+0
12/31/1903  18:02:54.000000	2.744183E+0
12/31/1903  18:02:55.000000	2.753589E+0
12/31/1903  18:02:56.000000	2.767861E+0
12/31/1903  18:02:57.000000	2.773050E+0
12/31/1903  18:02:58.000000	2.772077E+0
12/31/1903  18:02:59.000000	2.770780E+0
12/31/1903  18:03:00.000000	2.773050E+0
12/31/1903  18:03:01.000000	2.772401E+0
12/31/1903  18:03:02.000000	2.767861E+0
12/31/1903  18:03:03.000000	2.756184E+0
12/31/1903  18:03:04.000000	2.714019E+0
12/31/1903  18:03:05.000000	2.656934E+0
12/31/1903  18:03:06.000000	2.619634E+0
12/31/1903  18:03:07.000000	2.719209E+0
12/31/1903  18:03:08.000000	2.729912E+0
12/31/1903  18:03:09.000000	2.730885E+0
12/31/1903  18:03:10.000000	2.744183E+0
12/31/1903  18:03:11.000000	2.734453E+0
12/31/1903  18:03:12.000000	2.722452E+0
12/31/1903  18:03:13.000000	2.776618E+0
12/31/1903  18:03:14.000000	2.734777E+0
12/31/1903  18:03:15.000000	2.697477E+0
12/31/1903  18:03:16.000000	2.679638E+0
12/31/1903  18:03:17.000000	2.733480E+0
12/31/1903  18:03:18.000000	2.733480E+0
12/31/1903  18:03:19.000000	2.640717E+0
12/31/1903  18:03:20.000000	2.657258E+0
12/31/1903  18:03:21.000000	2.711100E+0
12/31/1903  18:03:22.000000	2.654339E+0
12/31/1903  18:03:23.000000	2.646231E+0
12/31/1903  18:03:24.000000	2.735750E+0
12/31/1903  18:03:25.000000	2.730236E+0
12/31/1903  18:03:26.000000	2.729912E+0
12/31/1903  18:03:27.000000	2.668610E+0
12/31/1903  18:03:28.000000	2.624499E+0
12/31/1903  18:03:29.000000	2.591416E+0
12/31/1903  18:03:30.000000	2.571306E+0
12/31/1903  18:03:31.000000	2.616066E+0
12/31/1903  18:03:32.000000	2.526222E+0
12/31/1903  18:03:33.000000	2.594011E+0
12/31/1903  18:03:34.000000	2.641690E+0
12/31/1903  18:03:35.000000	2.686450E+0
12/31/1903  18:03:36.000000	2.709478E+0
12/31/1903  18:03:37.000000	2.728939E+0
12/31/1903  18:03:38.000000	2.748724E+0
12/31/1903  18:03:39.000000	2.770131E+0
12/31/1903  18:03:40.000000	2.771428E+0
12/31/1903  18:03:41.000000	2.757482E+0
12/31/1903  18:03:42.000000	2.742886E+0
12/31/1903  18:03:43.000000	2.744508E+0
12/31/1903  18:03:44.000000	2.722452E+0
12/31/1903  18:03:45.000000	2.690017E+0
12/31/1903  18:03:46.000000	2.772726E+0
12/31/1903  18:03:47.000000	2.771428E+0
12/31/1903  18:03:48.000000	2.816513E+0
12/31/1903  18:03:49.000000	2.809701E+0
12/31/1903  18:03:50.000000	2.803863E+0
12/31/1903  18:03:51.000000	2.764942E+0
12/31/1903  18:03:52.000000	2.769482E+0
12/31/1903  18:03:53.000000	2.764293E+0
12/31/1903  18:03:54.000000	2.761374E+0
12/31/1903  18:03:55.000000	2.780510E+0
12/31/1903  18:03:56.000000	2.789916E+0
12/31/1903  18:03:57.000000	2.783429E+0
12/31/1903  18:03:58.000000	2.778240E+0
12/31/1903  18:03:59.000000	2.778240E+0
12/31/1903  18:04:00.000000	2.784727E+0
12/31/1903  18:04:01.000000	2.749373E+0
12/31/1903  18:04:02.000000	2.714992E+0
12/31/1903  18:04:03.000000	2.756833E+0
12/31/1903  18:04:04.000000	2.792835E+0
12/31/1903  18:04:05.000000	2.789916E+0
12/31/1903  18:04:06.000000	2.755860E+0
