0,4.8,4.7,4.9,4.8,4.8,22
5,4.8,4.7,4.9,4.8,4.8,22
10,4.8,4.6,5.05,4.7,5.1,22
15,4.8,4.5,5.2,4.5,5.3,22
20,4.8,4.25,5.5,4.1,5.7,22
25,4.8,3.7,5.9,3.6,6.2,22
30,4.8,3.1,6.5,3.0,6.8,22
35,4.8,2.4,7.1,2.3,7.5,22
40,4.8,1.6,7.8,1.4,8.4,22
